종목코드,종목명,상장일,분류체계,운용사,수익률(최근 1년),기초지수,추적오차,순자산총액,괴리율,변동성,복제방법,총보수,과세유형
"451060","1Q 200액티브","2023/01/31","주식-시장대표","하나자산운용","156.00","코스피 200","0.80","285770373827","-0.23","매우높음","실물(액티브)","0.010000","배당소득세(보유기간과세)"
"0103T0","1Q K소버린AI","2025/09/30","주식-업종섹터-업종테마","하나자산운용","0.00","iSelect K소버린AI 지수","0.49","27205798072","0.27","매우높음","실물(패시브)","0.490000","비과세"
"495330","1Q 코리아밸류업","2024/11/04","주식-시장대표","하나자산운용","159.39","코리아 밸류업 지수","0.50","108413429242","0.01","매우높음","실물(패시브)","0.020000","비과세"
"105190","ACE 200","2008/09/25","주식-시장대표","한국투자신탁운용","151.62","코스피 200","0.45","1479618620244","-0.06","매우높음","실물(패시브)","0.017000","비과세"
"332500","ACE 200TR","2019/08/28","주식-시장대표","한국투자신탁운용","159.53","코스피 200 TR","0.15","155754180253","-0.01","매우높음","실물(패시브)","0.010000","배당소득세(보유기간과세)"
"385600","ACE 2차전지&친환경차액티브","2021/05/25","주식-전략-전략테마","한국투자신탁운용","49.36","FnGuide 친환경 자동차 밸류체인 지수","4.04","21152273297","-0.29","매우높음","실물(액티브)","0.290000","배당소득세(보유기간과세)"
"469150","ACE AI반도체TOP3+","2023/10/17","주식-업종섹터-업종테마","한국투자신탁운용","260.46","FnGuide AI반도체 TOP3+ 지수","0.41","548443393483","0.00","매우높음","실물(패시브)","0.300000","비과세"
"385590","ACE ESG액티브","2021/05/25","주식-전략-전략테마","한국투자신탁운용","141.54","MSCI Korea Country ESG Leaders Custom Capped Price return Index","5.03","41580945411","0.13","매우높음","실물(액티브)","0.500000","배당소득세(보유기간과세)"
"226380","ACE Fn성장소비주도주","2015/08/19","주식-전략-전략테마","한국투자신탁운용","13.50","FnGuide 성장소비주도 지수","0.37","4746862724","-0.17","높음","실물(패시브)","0.500000","비과세"
"475050","ACE KPOP포커스","2024/01/30","주식-업종섹터-업종테마","한국투자신탁운용","18.28","iSelect K-POP 포커스지수(시장가격)","0.26","153824144916","-0.15","매우높음","실물(패시브)","0.300000","비과세"
"0139P0","ACE 고배당주","2025/12/16","주식-전략-배당","한국투자신탁운용","0.00","KRX-Akros 고배당주 20 지수","1.01","65218638407","-0.13","매우높음","실물(패시브)","0.150000","비과세"
"494330","ACE 라이프자산주주가치액티브","2024/10/15","주식-전략-전략테마","한국투자신탁운용","107.28","FnGuide 기업가치 지수(시장가격)","12.16","81436058038","-0.58","매우높음","실물(액티브)","0.500000","배당소득세(보유기간과세)"
"131890","ACE 삼성그룹동일가중","2010/09/17","주식-전략-기업그룹","한국투자신탁운용","88.78","MKF SAMs EW 지수","0.57","13344065313","-0.12","매우높음","실물(패시브)","0.150000","비과세"
"108450","ACE 삼성그룹섹터가중","2009/02/03","주식-전략-기업그룹","한국투자신탁운용","127.44","MKF SAMs SW","0.35","89736742343","0.10","매우높음","실물(패시브)","0.150000","비과세"
"433500","ACE 원자력TOP10","2022/06/28","주식-업종섹터-업종테마","한국투자신탁운용","259.65","DeepSearch 원자력 TOP 10지수","0.81","318073548508","-0.20","매우높음","실물(패시브)","0.300000","비과세"
"447430","ACE 주주환원가치주액티브","2022/11/15","주식-전략-가치","한국투자신탁운용","20.83","FnGuide 올라운드 가치주 지수","10.81","62445143524","-0.52","높음","실물(액티브)","0.700000","배당소득세(보유기간과세)"
"380340","ACE 코리아AI테크핵심산업","2021/04/02","주식-업종섹터-업종테마","한국투자신탁운용","109.52","FnGuide 코리아AI테크핵심산업지수 (Price Return)","0.42","9749753430","-0.07","매우높음","실물(패시브)","0.350000","비과세"
"496120","ACE 코리아밸류업","2024/11/04","주식-시장대표","한국투자신탁운용","155.01","코리아 밸류업 지수","0.62","20139301525","0.05","매우높음","실물(패시브)","0.090000","비과세"
